instance,model,I,p,M,min_distance,max_distance,status,objective_value,D,num_open_facilities,avg_distanceMatrix,std_Distribution,nodes_explored,runtime_s,mem_MB,gap
SMALL_01.json,MaxS,12,7,,0.03079,0.84619,optimal,11.4025,,7,0.543,0.207,11,0.56787,118.68,0.0
SMALL_02.json,MaxS,9,7,,0.11667,0.80614,optimal,10.8734,,7,0.5178,0.193,1,0.3524,121.03,0.0
SMALL_03.json,MaxS,12,4,,0.22336,1.02905,optimal,4.6231,,4,0.7705,0.3,61,0.64361,121.16,0.0
SMALL_04.json,MaxS,9,4,,0.47148,0.91352,optimal,4.2628,,4,0.7105,0.142,31,0.36197,121.28,0.0
SMALL_05.json,MaxS,10,6,,0.27017,1.08303,optimal,10.3322,,6,0.6888,0.229,7,0.33155,121.41,0.0
SMALL_06.json,MaxS,11,5,,0.35919,0.9401,optimal,6.3867,,5,0.6387,0.173,79,0.65539,121.66,0.0
SMALL_07.json,MaxS,12,4,,0.3338,0.97021,optimal,4.2157,,4,0.7026,0.208,95,0.70517,122.28,0.0
SMALL_08.json,MaxS,12,5,,0.13955,1.00527,optimal,7.6938,,5,0.7694,0.286,45,0.74768,122.21,0.0
SMALL_09.json,MaxS,9,7,,0.03028,0.75416,optimal,9.2862,,7,0.4422,0.222,0,0.29979,122.21,0.0
SMALL_10.json,MaxS,11,7,,0.13153,1.01536,optimal,14.2155,,7,0.6769,0.258,9,0.45955,122.21,0.0
MEDIUM_01.json,MaxS,15,13,,0.07841,1.25231,optimal,51.4721,,13,0.6599,0.307,1,0.80748,128.58,0.0
MEDIUM_02.json,MaxS,19,9,,0.0491,0.99605,optimal,21.992,,9,0.6109,0.25,985,8.36035,152.96,0.0
MEDIUM_03.json,MaxS,17,12,,0.05238,1.15881,optimal,45.8699,,12,0.695,0.31,37,1.72899,143.84,0.0
MEDIUM_04.json,MaxS,15,12,,0.04041,1.18832,optimal,38.5229,,12,0.5837,0.251,15,0.92139,143.97,0.0
MEDIUM_05.json,MaxS,17,9,,0.24538,1.26877,optimal,24.3568,,9,0.6766,0.261,249,1.99955,144.47,0.0
MEDIUM_06.json,MaxS,17,12,,0.03671,1.17518,optimal,38.8737,,12,0.589,0.253,41,1.84727,144.47,0.0
MEDIUM_07.json,MaxS,20,8,,0.11647,0.98564,optimal,18.3889,,8,0.6567,0.246,943,8.94189,179.73,0.0
MEDIUM_08.json,MaxS,20,11,,0.09437,1.26546,optimal,42.7842,,11,0.7779,0.318,937,9.33775,159.25,0.0
MEDIUM_09.json,MaxS,20,13,,0.03536,1.15597,optimal,48.5283,,13,0.6222,0.265,505,7.52677,152.03,0.0cle
MEDIUM_10.json,MaxS,16,11,,0.03556,1.10751,optimal,32.8677,,11,0.5976,0.251,17,1.224,149.54,0.0
LARGE_01.json,MaxS,29,16,,0.02894,1.1537,optimal,77.1886,,16,0.6432,0.281,7941,469.66559,300.06,0.0
LARGE_02.json,MaxS,22,17,,0.02503,1.11391,optimal,76.7087,,17,0.564,0.25,432,8.60788,289.31,0.0
LARGE_03.json,MaxS,23,17,,0.04958,1.10119,optimal,76.3267,,17,0.5612,0.252,63,5.58476,245.69,0.0
LARGE_04.json,MaxS,26,19,,0.01468,1.21628,optimal,106.7622,,19,0.6243,0.291,1697,29.8203,254.82,0.0
LARGE_05.json,MaxS,23,18,,0.04474,1.22977,optimal,88.7967,,18,0.5804,0.257,243,6.83289,202.91,0.0
LARGE_06.json,MaxS,22,13,,0.08152,1.11762,optimal,49.4131,,13,0.6335,0.266,697,14.89299,170.57,0.0
LARGE_07.json,MaxS,29,20,,0.03209,1.22907,optimal,108.6317,,20,0.5717,0.258,335,12.29672,167.51,0.0
LARGE_08.json,MaxS,22,20,,0.01437,1.18382,optimal,108.9636,,20,0.5735,0.258,1,1.22691,162.44,0.0
LARGE_09.json,MaxS,22,14,,0.05869,1.21564,optimal,54.2201,,14,0.5958,0.252,1039,18.82303,219.6,0.0
LARGE_10.json,MaxS,27,13,,0.0314,1.08392,optimal,45.8382,,13,0.5877,0.27,4507,167.82968,309.0,0.0


