instance,model,I,p,M,min_distance,max_distance,status,objective_value,D,num_open_facilities,avg_distanceMatrix,std_Distribution,nodes_explored,runtime_s,mem_MB,gap
SMALL_01.json,Pdisp,12,7,0.8461920928653163,0.22275,0.84619,optimal,0.2228,0.2228,7,0.5207,0.188,1,0.09917,112.13,0.0
SMALL_02.json,Pdisp,9,7,0.8061382265584782,0.22637,0.80614,optimal,0.2264,0.2264,7,0.4872,0.168,1,0.01132,113.98,0.0
SMALL_03.json,Pdisp,12,4,1.029045527776043,0.50474,1.02882,optimal,0.5047,0.5047,4,0.7668,0.198,1,0.2563,116.48,0.0
SMALL_04.json,Pdisp,9,4,0.9135184998849262,0.47148,0.91352,optimal,0.4715,0.4715,4,0.7105,0.142,1,0.03182,116.48,0.0
SMALL_05.json,Pdisp,10,6,1.083027607282448,0.34801,1.08303,optimal,0.348,0.348,6,0.6369,0.219,1,0.02027,116.48,0.0
SMALL_06.json,Pdisp,11,5,0.940097375777744,0.38594,0.9401,optimal,0.3859,0.3859,5,0.6384,0.172,1,0.15398,116.48,0.0
SMALL_07.json,Pdisp,12,4,0.9702090525843833,0.38617,0.91656,optimal,0.3862,0.3862,4,0.6007,0.183,45,0.58436,117.6,0.0
SMALL_08.json,Pdisp,12,5,1.0052707758755641,0.45048,0.94855,optimal,0.4505,0.4505,5,0.6113,0.179,1,0.35571,117.6,0.0
SMALL_09.json,Pdisp,9,7,0.7541649260861945,0.1797,0.75416,optimal,0.1797,0.1797,7,0.4223,0.179,1,0.01716,117.6,0.0
SMALL_10.json,Pdisp,11,7,1.015360918020563,0.26782,0.97831,optimal,0.2678,0.2678,7,0.603,0.219,1,0.0349,117.6,0.0
MEDIUM_01.json,Pdisp,15,13,1.2523111655902737,0.11005,1.25231,optimal,0.1101,0.1101,13,0.6265,0.286,1,0.03398,117.6,0.0
MEDIUM_02.json,Pdisp,19,9,0.9960487363629951,0.20356,0.98875,optimal,0.2036,0.2036,9,0.5435,0.199,274,1.09282,120.6,0.0
MEDIUM_03.json,Pdisp,17,12,1.1588088117242505,0.14022,1.1556,optimal,0.1402,0.1402,12,0.5663,0.259,0,0.16848,120.6,0.0
MEDIUM_04.json,Pdisp,15,12,1.18832094724025,0.1681,1.18832,optimal,0.1681,0.1681,12,0.5634,0.236,1,0.02132,120.6,0.0
MEDIUM_05.json,Pdisp,17,9,1.2687688252220317,0.26749,1.03505,optimal,0.2675,0.2675,9,0.5867,0.218,0,0.82091,121.35,0.0
MEDIUM_06.json,Pdisp,17,12,1.1751811861653934,0.16373,1.13948,optimal,0.1637,0.1637,12,0.5318,0.227,1,0.16998,121.35,0.0
MEDIUM_07.json,Pdisp,20,8,0.9856360627724449,0.2495,0.98564,optimal,0.2495,0.2495,8,0.537,0.203,257,0.67343,121.35,0.0
MEDIUM_08.json,Pdisp,20,11,1.2654562317480675,0.25791,1.26546,optimal,0.2579,0.2579,11,0.6963,0.266,1,0.70246,122.35,0.0
MEDIUM_09.json,Pdisp,20,13,1.1559742103816075,0.1362,1.15597,optimal,0.1362,0.1362,13,0.566,0.235,15,0.61833,122.68,0.0
MEDIUM_10.json,Pdisp,16,11,1.1075104184423001,0.19061,1.10751,optimal,0.1906,0.1906,11,0.5749,0.238,1,0.07703,122.68,0.0
LARGE_01.json,Pdisp,29,16,1.1537033109912258,0.15475,1.14333,optimal,0.1547,0.1547,16,0.5885,0.245,206,2.7153,130.81,0.0
LARGE_02.json,Pdisp,22,17,1.1139072825381182,0.07717,1.11391,optimal,0.0772,0.0772,17,0.5462,0.25,1,0.10611,129.92,0.0
LARGE_03.json,Pdisp,23,17,1.1011940816716992,0.11267,1.10119,optimal,0.1127,0.1127,17,0.4878,0.222,1,0.12394,129.92,0.0
LARGE_04.json,Pdisp,26,19,1.2162829663285841,0.06206,1.21628,optimal,0.0621,0.0621,19,0.5758,0.256,11,0.4389,130.04,0.0
LARGE_05.json,Pdisp,23,18,1.2297698343765986,0.10725,1.22977,optimal,0.1073,0.1073,18,0.539,0.238,1,0.17365,130.04,0.0
LARGE_06.json,Pdisp,22,13,1.1176221115157612,0.19186,1.11762,optimal,0.1919,0.1919,13,0.5888,0.236,1,1.10274,130.42,0.0
LARGE_07.json,Pdisp,29,20,1.2290650854561065,0.11145,1.22907,optimal,0.1115,0.1115,20,0.5329,0.236,44,1.33923,131.04,0.0
LARGE_08.json,Pdisp,22,20,1.1838152267979347,0.04209,1.18382,optimal,0.0421,0.0421,20,0.5394,0.245,1,0.05591,131.17,0.0
LARGE_09.json,Pdisp,22,14,1.2156422637401543,0.14755,1.21564,optimal,0.1476,0.1476,14,0.5296,0.229,1,0.48211,131.17,0.0
LARGE_10.json,Pdisp,27,13,1.0839218347535762,0.17783,1.06436,optimal,0.1778,0.1778,13,0.5271,0.237,266,1.23344,131.17,0.0

